timestamp_ns,t_in_window,weather,topic,center,confidence,detected,lx,rx,cte_m,true_center,err_gt
1778687413692857855,0.000528189,rain,/lka/pure_vision/lane_center,0.5121874809265137,0.0,True,403.0,1236.0,-0.0004119873046875,0.5000489234924317,0.012138557434081987
1778687413719417920,0.027088254,rain,/lka/scnn/lane_center,0.5108165740966797,0.0,True,395.385498046875,1239.2275390625,-0.0004119873046875,0.5000489234924317,0.010767650604248002
1778687413727477187,0.035147521,rain,/lka/yolo/lane_center,0.5103520750999451,0.9601666927337646,True,399.1591491699219,1233.967529296875,-0.0004119873046875,0.5000489234924317,0.010303151607513383
1778687413741761559,0.049431893,rain,/lka/pure_vision/lane_center,0.5118749737739563,0.0,True,403.0,1235.0,-0.0004119873046875,0.5000489234924317,0.011826050281524614
1778687413767623484,0.075293818,rain,/lka/scnn/lane_center,0.5105305314064026,0.0,True,395.23870849609375,1238.458984375,-0.0004119873046875,0.5000489234924317,0.010481607913970903
1778687413777012907,0.084683241,rain,/lka/yolo/lane_center,0.510327935218811,0.9591949582099915,True,399.1037902832031,1233.945556640625,-0.0004119873046875,0.5000489234924317,0.01027901172637935
1778687413788924961,0.096595295,rain,/lka/pure_vision/lane_center,0.510937511920929,0.0,True,403.0,1232.0,-0.0004119873046875,0.5000489234924317,0.01088858842849727
1778687413815865266,0.1235356,rain,/lka/scnn/lane_center,0.5106081962585449,0.0,True,395.195068359375,1238.751220703125,-0.0004119873046875,0.5000489234924317,0.010559272766113237
1778687413821500286,0.12917062,rain,/lka/yolo/lane_center,0.510307252407074,0.9619092345237732,True,399.13330078125,1233.8499755859375,-0.0004119873046875,0.5000489234924317,0.01025832891464229
1778687413839283368,0.146953702,rain,/lka/pure_vision/lane_center,0.5115625262260437,0.0,True,403.0,1234.0,-0.0004119873046875,0.5000489234924317,0.011513602733612016
1778687413865344910,0.173015244,rain,/lka/scnn/lane_center,0.5106497406959534,0.0,True,395.2495422363281,1238.8297119140625,-0.0004119873046875,0.5000489234924317,0.010600817203521684
1778687413874227945,0.181898279,rain,/lka/yolo/lane_center,0.5102837681770325,0.9622688293457031,True,399.132568359375,1233.775634765625,-0.0004119873046875,0.5000489234924317,0.010234844684600786
1778687413886289051,0.193959385,rain,/lka/pure_vision/lane_center,0.5103124976158142,0.0,True,402.0,1231.0,-0.0004119873046875,0.5000489234924317,0.010263574123382524
1778687413912989182,0.220659516,rain,/lka/scnn/lane_center,0.5102720856666565,0.0,True,395.5615539550781,1237.30908203125,-0.0004119873046875,0.5000489234924317,0.010223162174224809
1778687413919904134,0.227574468,rain,/lka/yolo/lane_center,0.5103496313095093,0.962253987789154,True,399.15081787109375,1233.968017578125,-0.0004119873046875,0.5000489234924317,0.010300707817077592
1778687413939551091,0.247221425,rain,/lka/pure_vision/lane_center,0.5118749737739563,0.0,True,402.0,1236.0,-0.0004119873046875,0.5000489234924317,0.011826050281524614
1778687413966403549,0.274073883,rain,/lka/scnn/lane_center,0.5105400681495667,0.0,True,395.7999572753906,1237.9283447265625,-0.0004119873046875,0.5000489234924317,0.010491144657134965
1778687413977415772,0.285086106,rain,/lka/yolo/lane_center,0.5104138255119324,0.9617491364479065,True,399.15155029296875,1234.172607421875,-0.0004119873046875,0.5000489234924317,0.010364902019500688
1778687413987247992,0.294918326,rain,/lka/pure_vision/lane_center,0.5103124976158142,0.0,True,403.0,1230.0,-0.0004119873046875,0.5000489234924317,0.010263574123382524
1778687414016230841,0.323901175,rain,/lka/scnn/lane_center,0.5102788209915161,0.0,True,394.7632751464844,1238.12890625,-0.0004119873046875,0.5000489234924317,0.010229897499084428
