timestamp_ns,t_in_window,weather,topic,center,confidence,detected,lx,rx,cte_m,true_center,err_gt
1778418751034802295,0.77530016,rain,/lka/scnn/lane_center,0.5110284090042114,0.0,True,395.1532287597656,1240.1375732421875,,,
1778418751041688429,0.782186294,rain,/lka/yolo/lane_center,0.5103938579559326,0.9638006091117859,True,399.1738586425781,1234.0865478515625,,,
1778418751058871829,0.799369694,rain,/lka/pure_vision/lane_center,0.5074999928474426,0.0,True,402.0,1222.0,,,
1778418751087688589,0.828186454,rain,/lka/scnn/lane_center,0.5107818841934204,0.0,True,395.1783142089844,1239.3236083984375,,,
1778418751092558569,0.833056434,rain,/lka/yolo/lane_center,0.5103700757026672,0.9632070064544678,True,399.1738586425781,1234.0103759765625,,,
1778418751112946248,0.853444113,rain,/lka/pure_vision/lane_center,0.5078125,0.0,True,401.0,1224.0,,,
1778418751140723216,0.881221081,rain,/lka/scnn/lane_center,0.5108397006988525,0.0,True,395.0473937988281,1239.6396484375,,,
1778418751148097295,0.88859516,rain,/lka/yolo/lane_center,0.5104025602340698,0.9628157019615173,True,399.2198181152344,1234.068359375,,,
1778418751172913406,0.913411271,rain,/lka/pure_vision/lane_center,0.5084375143051147,0.0,True,403.0,1224.0,,,
1778418751198709175,0.93920704,rain,/lka/scnn/lane_center,0.5107600688934326,0.0,True,395.0215148925781,1239.41064453125,,,
1778418751207328818,0.947826683,rain,/lka/yolo/lane_center,0.510398268699646,0.9627344608306885,True,399.20733642578125,1234.067138671875,,,
1778418751226371756,0.966869621,rain,/lka/pure_vision/lane_center,0.5099999904632568,0.0,True,403.0,1229.0,,,
1778418751253953543,0.994451408,rain,/lka/scnn/lane_center,0.5107506513595581,0.0,True,395.1929931640625,1239.2091064453125,,,
1778418751262990939,1.003488804,rain,/lka/yolo/lane_center,0.5104002952575684,0.9617968797683716,True,399.1872253417969,1234.09375,,,
1778418751277157365,1.01765523,rain,/lka/pure_vision/lane_center,0.5090625286102295,0.0,True,403.0,1226.0,,,
1778418751307136210,1.047634075,rain,/lka/scnn/lane_center,0.5108771920204163,0.0,True,395.5260009765625,1239.281005859375,,,
1778418751315581091,1.056078956,rain,/lka/yolo/lane_center,0.5103949904441833,0.9624549150466919,True,399.1926574707031,1234.0712890625,,,
1778418751331923756,1.072421621,rain,/lka/pure_vision/lane_center,0.5068749785423279,0.0,True,401.0,1221.0,,,
1778418751361148190,1.101646055,rain,/lka/scnn/lane_center,0.510733425617218,0.0,True,395.0306701660156,1239.316162109375,,,
1778418751366177061,1.106674926,rain,/lka/yolo/lane_center,0.5103981494903564,0.9616806507110596,True,399.1474304199219,1234.126708984375,,,
1778418751385754783,1.126252648,rain,/lka/pure_vision/lane_center,0.5096874833106995,0.0,True,403.0,1228.0,,,
1778418751415672011,1.156169876,rain,/lka/scnn/lane_center,0.5110573172569275,0.0,True,395.3738708496094,1240.0093994140625,,,
1778418751422276070,1.162773935,rain,/lka/yolo/lane_center,0.5104998350143433,0.9624211192131042,True,399.2136535644531,1234.3858642578125,,,
1778418751443047537,1.183545402,rain,/lka/pure_vision/lane_center,0.5090625286102295,0.0,True,403.0,1226.0,,,
1778418751471824122,1.212321987,rain,/lka/scnn/lane_center,0.5108813047409058,0.0,True,395.4714660644531,1239.3486328125,,,
1778418751479156302,1.219654167,rain,/lka/yolo/lane_center,0.5104293823242188,0.961872935295105,True,399.15496826171875,1234.218994140625,,,
1778418751495212193,1.235710058,rain,/lka/pure_vision/lane_center,0.5090625286102295,0.0,True,403.0,1226.0,,,
1778418751525121827,1.265619692,rain,/lka/scnn/lane_center,0.5110481381416321,0.0,True,395.5576171875,1239.79638671875,,,
1778418751533377419,1.273875284,rain,/lka/yolo/lane_center,0.5103875994682312,0.9620556831359863,True,399.1020202636719,1234.1383056640625,,,
1778418751547169625,1.28766749,rain,/lka/pure_vision/lane_center,0.5078125,0.0,True,403.0,1222.0,,,
1778418751575257473,1.315755338,rain,/lka/scnn/lane_center,0.511133074760437,0.0,True,395.8367614746094,1239.7890625,,,
1778418751579605712,1.320103577,rain,/lka/yolo/lane_center,0.5103936195373535,0.9631068110466003,True,399.16094970703125,1234.0986328125,,,
1778418751600236983,1.340734848,rain,/lka/pure_vision/lane_center,0.5090625286102295,0.0,True,402.0,1227.0,,,
1778418751631344370,1.371842235,rain,/lka/scnn/lane_center,0.5109903812408447,0.0,True,395.4519958496094,1239.71728515625,,,
1778418751643056079,1.383553944,rain,/lka/yolo/lane_center,0.5104112029075623,0.9620070457458496,True,399.1294860839844,1234.1864013671875,,,
1778418751656257985,1.39675585,rain,/lka/pure_vision/lane_center,0.5093749761581421,0.0,True,402.0,1228.0,,,
1778418751685230130,1.425727995,rain,/lka/scnn/lane_center,0.5109948515892029,0.0,True,395.34259033203125,1239.8408203125,,,
1778418751688291779,1.428789644,rain,/lka/yolo/lane_center,0.5104169845581055,0.9637221097946167,True,399.109619140625,1234.2247314453125,,,
1778418751711464742,1.451962607,rain,/lka/pure_vision/lane_center,0.5078125,0.0,True,402.0,1223.0,,,
1778418751737331185,1.47782905,rain,/lka/scnn/lane_center,0.5111346244812012,0.0,True,395.6724548339844,1239.9583740234375,,,
1778418751743663298,1.484161163,rain,/lka/yolo/lane_center,0.5104830861091614,0.9626623392105103,True,399.1507568359375,1234.3951416015625,,,
1778418751761369840,1.501867705,rain,/lka/pure_vision/lane_center,0.5090625286102295,0.0,True,403.0,1226.0,,,
1778418751788830198,1.529328063,rain,/lka/scnn/lane_center,0.5110100507736206,0.0,True,395.18682861328125,1240.0452880859375,,,
1778418751796503946,1.537001811,rain,/lka/yolo/lane_center,0.5104836821556091,0.9639335870742798,True,399.1255187988281,1234.422119140625,,,
1778418751822159790,1.562657655,rain,/lka/pure_vision/lane_center,0.5078125,0.0,True,402.0,1223.0,,,
1778418751847331204,1.587829069,rain,/lka/scnn/lane_center,0.5110119581222534,0.0,True,395.3549499511719,1239.8834228515625,,,
1778418751856195381,1.596693246,rain,/lka/yolo/lane_center,0.5104542374610901,0.9628803133964539,True,399.1370849609375,1234.3165283203125,,,
1778418751878521868,1.619019733,rain,/lka/pure_vision/lane_center,0.5062500238418579,0.0,True,403.0,1217.0,,,
1778418751905536089,1.646033954,rain,/lka/scnn/lane_center,0.5110678672790527,0.0,True,395.39556884765625,1240.0216064453125,,,
1778418751915312988,1.655810853,rain,/lka/yolo/lane_center,0.5104257464408875,0.9628607630729675,True,399.1363525390625,1234.22607421875,,,
1778418751929555378,1.670053243,rain,/lka/pure_vision/lane_center,0.5112500190734863,0.0,True,403.0,1233.0,,,
1778418751958166338,1.698664203,rain,/lka/scnn/lane_center,0.5109002590179443,0.0,True,395.1052551269531,1239.775634765625,,,
1778418751961877018,1.702374883,rain,/lka/yolo/lane_center,0.5104636549949646,0.963117778301239,True,399.1431579589844,1234.340576171875,,,
